date,region,district,market,commodity,unit,pricetype,TSh,USD
2010-03-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,38000.0,28.4559
2010-03-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,125000.0,93.6049
2010-04-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,33000.0,24.5719
2010-04-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,108000.0,80.417
2010-05-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,34000.0,25.0146
2010-05-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,105000.0,77.2509
2010-06-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,25000.0,17.4447
2010-06-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,95000.0,66.2899
2010-07-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,26000.0,17.7317
2010-07-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,95000.0,64.7889
2010-08-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,25000.0,17.5439
2010-08-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,95000.0,66.6667
2010-09-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,26625.0,17.8106
2010-09-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,95000.0,63.5494
2010-10-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,26769.0,17.8925
2010-10-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,100000.0,66.8405
2010-11-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,29200.0,19.8181
2010-11-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,103000.0,69.9063
2010-12-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,30857.0,21.6207
2010-12-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,93643.0,65.6131
2011-01-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,31083.0,21.1747
2011-01-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,117917.0,80.3287
2011-01-15,Arusha,Arusha Urban,Arusha Urban,Beans,100 KG,Wholesale,96875.0,65.9943
2011-02-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,29178.0,19.7509
2011-02-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,109450.0,74.0879
2011-02-15,Arusha,Arusha Urban,Arusha Urban,Beans,100 KG,Wholesale,100755.0,68.2021
2011-03-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,36566.6,24.3875
2011-03-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,112666.6,75.1411
2011-03-15,Arusha,Arusha Urban,Arusha Urban,Beans,100 KG,Wholesale,106750.0,71.1951
2011-04-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,40000.0,26.7755
2011-04-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,125000.0,83.6733
2011-04-15,Arusha,Arusha Urban,Arusha Urban,Beans,100 KG,Wholesale,121250.0,81.1631
2011-05-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,43000.0,28.5269
2011-05-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,135000.0,89.5613
2011-05-15,Arusha,Arusha Urban,Arusha Urban,Beans,100 KG,Wholesale,122500.0,81.2686
2011-06-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,50500.0,32.756
2011-06-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,130000.0,84.3225
2011-06-15,Arusha,Arusha Urban,Arusha Urban,Beans,100 KG,Wholesale,120000.0,77.8362
2011-07-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,49636.0,32.2061
2011-07-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,130000.0,84.3499
2011-07-15,Arusha,Arusha Urban,Arusha Urban,Beans,100 KG,Wholesale,106000.0,68.7776
2011-08-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,43778.0,27.4642
2011-08-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,134444.0,84.3438
2011-08-15,Arusha,Arusha Urban,Arusha Urban,Beans,100 KG,Wholesale,107222.0,67.266
2011-09-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,43167.0,26.7835
2011-09-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,142778.0,88.5884
2011-09-15,Arusha,Arusha Urban,Arusha Urban,Beans,100 KG,Wholesale,121667.0,75.4899
2011-10-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,40250.0,24.5647
2011-10-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,151458.0,92.4353
2011-10-15,Arusha,Arusha Urban,Arusha Urban,Beans,100 KG,Wholesale,107083.0,65.3531
2011-11-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,39846.0,22.9978
2011-11-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,156923.0,90.5708
2011-11-15,Arusha,Arusha Urban,Arusha Urban,Beans,100 KG,Wholesale,117885.0,68.0394
2011-12-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,42000.0,26.5487
2011-12-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,158571.0,100.2345
2012-01-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,44500.0,28.3254
2012-01-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,165962.0,105.639
2012-01-15,Arusha,Arusha Urban,Arusha Urban,Beans,100 KG,Wholesale,137308.0,87.4
2012-02-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,41654.0,26.5939
